order_line_id,order_id,product_id,quantity,unit_price
OL0000001,ORD000001,PROD0030,1,19.16
OL0000002,ORD000001,PROD0126,1,96.87
OL0000003,ORD000001,PROD0025,1,144.46
OL0000004,ORD000002,PROD0146,1,10.97
OL0000005,ORD000002,PROD0058,-1,285.31
OL0000006,ORD000002,PROD0005,1,244.35
OL0000007,ORD000003,PROD0082,1,227.29
OL0000008,ORD000004,PROD0036,1,204.81
OL0000009,ORD000004,PROD0110,1,288.47
OL0000010,ORD000005,PROD0224,2,407.73
OL0000011,ORD000006,PROD0210,1,280.55
OL0000012,ORD000006,PROD0217,1,148.52
OL0000013,ORD000006,PROD0099,1,330.78
OL0000014,ORD000006,PROD0238,1,256.8
OL0000015,ORD000007,PROD0225,-1,90.4
OL0000016,ORD000008,PROD0165,1,119.39
OL0000017,ORD000009,PROD0174,2,142.76
OL0000018,ORD000009,PROD0160,2,48.11
OL0000019,ORD000010,PROD0051,1,19.4
OL0000020,ORD000010,PROD0172,1,62.07
OL0000021,ORD000010,PROD0100,1,374.02
OL0000022,ORD000010,PROD0056,1,77.06
OL0000023,ORD000011,PROD0088,-1,167.68
OL0000024,ORD000012,PROD0150,3,146.91
OL0000025,ORD000013,PROD0201,1,54.93
OL0000026,ORD000014,PROD0136,1,348.64
OL0000027,ORD000015,PROD0090,1,231.81
OL0000028,ORD000015,PROD0228,1,44.25
OL0000029,ORD000016,PROD0035,2,44.34
OL0000030,ORD000016,PROD0116,2,276.2
OL0000031,ORD000017,PROD0149,1,207.8
OL0000032,ORD000017,PROD0062,1,79.51
OL0000033,ORD000018,PROD0059,1,210.28
OL0000034,ORD000019,PROD0218,1,40.88
OL0000035,ORD000019,PROD0086,1,146.7
OL0000036,ORD000020,PROD0178,1,34.18
OL0000037,ORD000020,PROD0093,1,105.9
OL0000038,ORD000020,PROD0031,1,113.57
OL0000039,ORD000021,PROD0167,2,8.24
OL0000040,ORD000021,PROD0163,1,391.14
OL0000041,ORD000022,PROD0016,1,157.57
OL0000042,ORD000023,PROD0015,1,133.64
OL0000043,ORD000023,PROD0241,2,253.35
OL0000044,ORD000023,PROD0168,2,14.38
OL0000045,ORD000024,PROD0189,1,183.41
OL0000046,ORD000025,PROD0089,1,219.19
OL0000047,ORD000025,PROD0173,3,154.48
OL0000048,ORD000026,PROD0106,1,221.32
OL0000049,ORD000026,PROD0218,1,40.88
OL0000050,ORD000026,PROD0140,3,300.78
OL0000051,ORD000027,PROD0199,2,280.63
OL0000052,ORD000028,PROD0141,1,268.78
OL0000053,ORD000028,PROD0177,1,169.04
OL0000054,ORD000028,PROD0114,1,307.77
OL0000055,ORD000028,PROD0166,-1,152.94
OL0000056,ORD000029,PROD0005,2,244.35
OL0000057,ORD000030,PROD0053,1,252.18
OL0000058,ORD000030,PROD0155,1,226.29
OL0000059,ORD000031,PROD0052,2,113.94
OL0000060,ORD000031,PROD0198,1,163.3
OL0000061,ORD000031,PROD0249,2,136.75
OL0000062,ORD000032,PROD0008,1,51.44
OL0000063,ORD000033,PROD0117,1,200.76
OL0000064,ORD000034,PROD0102,1,80.75
OL0000065,ORD000035,PROD0046,1,55.23
OL0000066,ORD000035,PROD0194,1,76.44
OL0000067,ORD000035,PROD0002,1,274.02
OL0000068,ORD000035,PROD0238,1,256.8
OL0000069,ORD000036,PROD0209,1,91.81
OL0000070,ORD000037,PROD0162,3,190.48
OL0000071,ORD000038,PROD0001,3,180.64
OL0000072,ORD000038,PROD0145,2,111.15
OL0000073,ORD000038,PROD0012,1,94.63
OL0000074,ORD000039,PROD0044,1,280.87
OL0000075,ORD000039,PROD0037,1,10.93
OL0000076,ORD000039,PROD0117,1,200.76
OL0000077,ORD000040,PROD0147,1,253.83
OL0000078,ORD000041,PROD0224,1,407.73
OL0000079,ORD000041,PROD0095,2,148.41
OL0000080,ORD000041,PROD0061,1,366.65
OL0000081,ORD000042,PROD0119,-1,63.92
OL0000082,ORD000043,PROD0151,1,24.98
OL0000083,ORD000044,PROD0158,2,333.96
OL0000084,ORD000044,PROD0080,1,102.82
OL0000085,ORD000044,PROD0148,1,50.73
OL0000086,ORD000045,PROD0097,1,343.76
OL0000087,ORD000046,PROD0008,2,51.44
OL0000088,ORD000046,PROD0144,1,169.8
OL0000089,ORD000047,PROD0172,1,62.07
OL0000090,ORD000047,PROD0143,2,128.91
OL0000091,ORD000048,PROD0224,3,407.73
OL0000092,ORD000048,PROD0196,1,318.41
OL0000093,ORD000049,PROD0142,1,91.34
OL0000094,ORD000049,PROD0003,1,43.58
OL0000095,ORD000050,PROD0025,1,144.46
OL0000096,ORD000050,PROD0224,2,407.73
OL0000097,ORD000051,PROD0039,1,178.44
OL0000098,ORD000051,PROD0199,-1,280.63
OL0000099,ORD000052,PROD0160,1,48.11
OL0000100,ORD000052,PROD0107,1,178.28
OL0000101,ORD000052,PROD0139,1,309.29
OL0000102,ORD000053,PROD0067,1,41.4
OL0000103,ORD000054,PROD0245,1,428.48
OL0000104,ORD000054,PROD0192,1,284.39
OL0000105,ORD000055,PROD0099,1,330.78
OL0000106,ORD000056,PROD0032,1,254.9
OL0000107,ORD000057,PROD0211,1,336.75
OL0000108,ORD000057,PROD0184,1,437.18
OL0000109,ORD000058,PROD0109,3,139.46
OL0000110,ORD000059,PROD0194,2,76.44
OL0000111,ORD000059,PROD0061,2,366.65
OL0000112,ORD000060,PROD0136,3,348.64
OL0000113,ORD000060,PROD0078,-1,271.48
OL0000114,ORD000060,PROD0024,1,114.05
OL0000115,ORD000061,PROD0078,1,271.48
OL0000116,ORD000061,PROD0191,1,54.06
OL0000117,ORD000062,PROD0022,1,24.48
OL0000118,ORD000063,PROD0066,1,115.83
OL0000119,ORD000064,PROD0094,3,295.43
OL0000120,ORD000065,PROD0086,2,146.7
OL0000121,ORD000066,PROD0234,2,133.36
OL0000122,ORD000066,PROD0056,1,77.06
OL0000123,ORD000067,PROD0215,1,87.91
OL0000124,ORD000067,PROD0097,2,343.76
OL0000125,ORD000067,PROD0078,2,271.48
OL0000126,ORD000068,PROD0214,1,203.56
OL0000127,ORD000069,PROD0033,1,105.29
OL0000128,ORD000069,PROD0098,1,107.19
OL0000129,ORD000069,PROD0019,1,75.29
