order_id,customer_id,order_date,currency_raw,order_status
ORD000001,CUST02755,2025-09-16 19:39:28.278428,USD,Completed
ORD000002,CUST01666,2025-09-28 13:23:31.341844,USD,Completed
ORD000003,CUST04100,2026-04-18 03:39:33.135756,usd,Completed
ORD000004,CUST00732,2026-04-11 16:05:26.910972,USD,Completed
ORD000005,CUST04674,2025-12-22 16:11:34.911906,USD,Completed
ORD000006,CUST02066,2025-08-15 21:38:52.971198,USD,Refunded
ORD000007,CUST04140,2025-12-03 11:10:15.906942,$,Refunded
ORD000008,CUST03174,2026-06-01 17:56:56.014481,US$,Completed
ORD000009,CUST01967,2025-12-28 01:38:14.740046,US$,Completed
ORD000010,CUST01702,2026-03-30 14:07:19.147704,USD,Refunded
ORD000011,CUST04054,2026-01-21 13:26:50.940932,USD,Completed
ORD000012,CUST03340,2026-03-22 19:15:18.032618,USD,Completed
ORD000013,CUST04248,2026-06-04 13:54:19.818923,USD,Completed
ORD000014,CUST02729,2026-02-16 14:21:27.256351,USD,Cancelled
ORD000015,CUST01364,2026-04-25 21:32:48.071829,USD ,Completed
ORD000016,CUST01053,2026-02-26 23:36:29.875464,USD,Completed
ORD000017,CUST00282,2025-07-15 11:37:51.182585,USD,Completed
ORD000018,CUST01158,2026-02-15 08:47:54.856576,USD,Completed
ORD000019,CUST00407,2025-12-20 20:19:30.864053,USD,Completed
ORD000020,CUST03089,2026-06-27 01:25:42.370252,usd,Completed
ORD000021,CUST04827,2026-04-13 09:13:36.455716,USD,Completed
ORD000022,CUST02293,2025-11-09 19:36:07.049237,USD,Completed
ORD000023,CUST00939,2026-06-22 20:10:49.250054,USD,Completed
ORD000024,CUST00468,2026-05-07 07:36:31.378123,US$,Completed
ORD000025,CUST01624,2025-08-26 22:20:37.290529,USD ,Completed
ORD000026,CUST03448,2026-01-18 16:51:44.185886,US$,Cancelled
ORD000027,CUST03125,2025-12-05 16:01:17.710260,USD,Completed
ORD000028,CUST01645,2025-09-10 20:52:43.979380,US$,Completed
ORD000029,CUST00477,2025-08-09 21:11:10.074371,USD,Completed
ORD000030,CUST00430,2025-09-05 07:36:50.860667,USD,Completed
